time,input,pll_output,theta,frequency,phase_error,loop_filter,lock_state
11.816800,-0.808298,0.749151,2.3294,55.18,-1.4507,-34.179,1
11.835800,-0.950669,0.927077,1.9548,52.96,-1.8172,-20.418,1
11.854799,-0.999986,0.997948,1.6647,49.48,-1.9875,-1.511,1
11.873700,-0.941254,0.965426,1.3358,45.78,-1.9604,24.400,1
11.892699,-0.790816,0.857184,1.0571,43.55,-1.7289,39.818,1
11.911600,-0.536773,0.664669,0.7551,44.60,-1.3191,36.816,1
11.930299,-0.157545,0.336504,0.3742,48.94,-0.6437,9.215,1
11.948999,0.247574,-0.081539,6.2354,53.70,0.1046,-21.455,1
11.967700,0.611979,-0.507763,5.7856,55.75,0.9226,-35.883,1
11.986499,0.860119,-0.813514,5.3672,54.68,1.5799,-31.631,1
12.005199,0.991929,-0.982186,4.9331,50.97,1.9437,-10.558,1
12.023900,0.960540,-0.978752,4.5352,46.46,1.9714,19.971,1
12.042499,0.750816,-0.827795,4.1441,43.42,1.6668,41.000,1
12.061100,0.398177,-0.551467,3.7547,45.82,1.0814,28.331,1
12.079599,-0.061636,-0.118808,3.2934,51.73,0.2158,-8.558,1
12.098400,-0.424721,0.284039,2.8882,55.20,-0.5546,-31.735,1
12.117300,-0.706280,0.623065,2.5038,55.69,-1.2033,-36.070,1
12.136199,-0.904324,0.868646,2.1230,54.03,-1.6930,-28.154,1
12.155200,-0.991927,0.982184,1.7915,50.97,-1.9437,-10.558,1
12.174200,-0.982435,0.992938,1.4818,47.56,-1.9938,12.924,1
12.193200,-0.876801,0.919540,1.1948,44.15,-1.8581,33.832,1
12.211999,-0.662135,0.761629,0.8933,43.64,-1.5256,41.068,1
12.230799,-0.310114,0.475636,0.5254,46.92,-0.9783,21.711,1
12.249599,0.061620,0.118823,0.1518,51.73,-0.2158,-8.557,1
12.268300,0.452929,-0.317191,5.9951,55.20,0.6176,-31.735,1
12.287099,0.749279,-0.676125,5.5755,55.54,1.3066,-35.764,1
12.305799,0.950655,-0.927058,5.1298,53.25,1.8172,-22.145,1
12.324599,0.998024,-0.999981,4.7444,48.71,1.9973,3.250,1
12.343199,0.876808,-0.919545,4.3364,44.37,1.8581,33.831,1
12.361700,0.563018,-0.685384,3.9246,44.14,1.4056,38.036,1
12.380299,0.157588,-0.336545,3.5158,48.94,0.6438,9.218,1
12.398900,-0.277835,0.115395,3.0600,54.22,-0.2338,-23.268,1
