time,input,pll_output,theta,frequency,phase_error,loop_filter,lock_state
12.417799,-0.586782,0.477225,2.6790,55.75,-0.9225,-35.882,1
12.436699,-0.826355,0.771596,2.2947,55.18,-1.4954,-33.443,1
12.455699,-0.959890,0.938947,1.9549,52.96,-1.8434,-20.423,1
12.474800,-0.999985,0.997945,1.6337,49.48,-1.9875,-1.515,1
12.493700,-0.941274,0.965439,1.3646,45.78,-1.9604,22.218,1
12.512700,-0.790851,0.842823,1.0571,43.47,-1.7290,39.816,1
12.531499,-0.510046,0.643379,0.7271,44.60,-1.2741,35.428,1
12.550299,-0.157604,0.336557,0.3742,48.94,-0.6438,9.219,1
12.568999,0.247516,-0.081474,6.2355,53.70,0.1044,-21.452,1
12.587699,0.586769,-0.477210,5.7856,55.75,0.9225,-35.883,1
12.606499,0.860089,-0.813476,5.3673,54.68,1.5798,-31.633,1
12.625199,0.991921,-0.982175,4.9331,51.33,1.9437,-10.561,1
12.644000,0.968837,-0.984303,4.5644,46.46,1.9807,17.657,1
12.662499,0.750855,-0.827823,4.1441,43.42,1.6986,40.495,1
12.681099,0.398231,-0.551514,3.7548,45.82,1.0815,28.336,1
12.699699,-0.030198,-0.151301,3.3259,51.36,0.2789,-6.128,1
12.718500,-0.396005,0.283975,2.8883,55.05,-0.4909,-30.621,1
12.737299,-0.683616,0.623015,2.5039,55.74,-1.1495,-36.258,1
12.756299,-0.890403,0.851259,2.1571,54.48,-1.6571,-29.416,1
12.775300,-0.987423,0.975722,1.8238,51.68,-1.9276,-12.684,1
12.794300,-0.987811,0.995984,1.5118,47.94,-1.9994,10.508,1
12.813300,-0.891526,0.930112,1.2227,44.61,-1.8793,32.173,1
12.832200,-0.685402,0.779132,0.9207,43.46,-1.5630,41.342,1
12.850999,-0.369236,0.526887,0.5842,46.17,-1.0305,26.238,1
12.869799,-0.001227,0.183355,0.2166,50.97,-0.3414,-3.646,1
12.888499,0.395990,-0.250535,6.0645,54.87,0.4909,-29.383,1
12.907299,0.706226,-0.622999,5.6455,55.69,1.2032,-36.258,1
12.925999,0.929254,-0.899977,5.1969,53.78,1.7590,-25.345,1
12.944799,0.999984,-0.997942,4.8064,49.86,1.9875,-1.518,1
12.963500,0.918178,-0.949229,4.4206,45.16,1.9168,28.495,1
12.982099,0.662190,-0.761671,4.0349,43.53,1.5257,41.068,1
13.000699,0.280161,-0.449134,3.6373,47.71,0.8708,16.869,1
13.019299,-0.155196,-0.019692,3.1612,53.10,0.0245,-17.515,1
13.038099,-0.507939,0.382463,2.7840,55.56,-0.7417,-33.604,1
13.056999,-0.769680,0.701308,2.3991,55.44,-1.3561,-35.349,1
13.075999,-0.929249,0.899969,2.0553,53.52,-1.7589,-25.346,1
13.094999,-0.997875,0.992115,1.7277,50.61,-1.9695,-6.145,1
13.113999,-0.968848,0.984310,1.4229,46.82,-1.9807,17.654,1
13.132899,-0.844995,0.896536,1.1395,43.80,-1.8111,36.705,1
13.151799,-0.588759,0.705477,0.8108,43.94,-1.4057,39.074,1
13.170599,-0.249890,0.421914,0.4658,47.71,-0.8156,16.871,1
13.189399,0.124082,0.053051,0.0862,52.45,-0.0887,-13.196,1
13.208099,0.507925,-0.382447,5.9256,55.46,0.7417,-33.604,1
13.226799,0.808220,-0.749052,5.4711,55.32,1.4505,-34.182,1
13.245599,0.968207,-0.949773,5.0635,52.34,1.8674,-18.611,1
13.264399,0.992253,-0.998191,4.6835,47.94,1.9994,8.082,1
13.282799,0.809700,-0.870979,4.2261,43.66,1.7852,38.951,1
13.301399,0.482828,-0.621453,3.8406,44.87,1.2278,33.884,1
13.319999,0.064054,-0.246187,3.4221,50.17,0.4646,1.445,1
13.338500,-0.395951,0.250489,2.9229,54.87,-0.4908,-29.382,1
13.357399,-0.683572,0.595258,2.5390,55.74,-1.1494,-36.345,1
13.376299,-0.890375,0.851225,2.1572,54.48,-1.6570,-29.418,1
13.395299,-0.987414,0.975709,1.8239,51.68,-1.9276,-12.688,1
13.414400,-0.992255,0.998192,1.5420,47.94,-1.9994,10.505,1
13.433300,-0.891553,0.930131,1.2228,44.61,-1.8990,32.169,1
13.452199,-0.685446,0.779166,0.9207,43.46,-1.5631,41.343,1
13.471099,-0.398300,0.551573,0.6132,45.82,-1.0816,28.339,1
13.489899,-0.032694,0.215041,0.2487,50.57,-0.4034,-1.115,1
13.508599,0.366902,-0.216854,6.0990,54.67,0.4269,-28.026,1
13.527299,0.706183,-0.622949,5.6456,55.74,1.1493,-36.345,1
13.546099,0.917182,-0.884796,5.2308,54.03,1.7268,-26.799,1
13.564799,0.999398,-0.995530,4.8378,50.24,1.9795,-3.857,1
13.583600,0.930193,-0.957716,4.4490,45.16,1.9330,26.487,1
13.602099,0.662234,-0.761705,4.0350,43.64,1.5258,41.070,1
13.620599,0.249931,-0.421950,3.6074,48.12,0.8156,16.874,1
13.639199,-0.186090,0.013803,3.1277,53.41,-0.0397,-19.530,1
13.657999,-0.534725,0.414441,2.7491,55.64,-0.8027,-34.346,1
13.676899,-0.789339,0.725644,2.3643,55.44,-1.4040,-34.819,1
13.695899,-0.940404,0.914079,1.9883,53.25,-1.7890,-22.151,1
13.714900,-0.999397,0.995529,1.6962,50.24,-1.9795,-3.857,1
13.733900,-0.960585,0.978783,1.3937,46.46,-1.9807,19.960,1
13.752900,-0.827768,0.884091,1.1120,43.80,-1.7852,37.909,1
13.771699,-0.563129,0.685471,0.7831,44.13,-1.3633,38.040,1
13.790499,-0.219425,0.394120,0.4356,48.12,-0.7594,14.362,1
13.809199,0.186074,-0.013785,0.0197,53.10,0.0396,-17.511,1
13.828000,0.560958,-0.446032,5.8558,55.64,0.8026,-34.982,1
13.846699,0.826279,-0.771500,5.4365,55.03,1.4952,-33.446,1
13.865299,0.981980,-0.968063,4.9980,51.68,1.9096,-12.691,1
13.884099,0.976179,-0.989087,4.5939,47.19,1.9882,15.297,1
13.902699,0.790932,-0.857273,4.1988,43.55,1.7579,39.813,1
13.921299,0.455146,-0.598870,3.8122,45.17,1.1804,32.181,1
13.939899,0.032737,-0.215082,3.3904,50.57,0.4035,-1.111,1
13.958499,-0.395896,0.250426,2.9230,54.87,-0.4907,-29.380,1
13.977399,-0.683529,0.595205,2.5390,55.74,-1.1493,-36.345,1
13.996299,-0.890348,0.851192,2.1573,54.48,-1.6569,-29.420,1
14.015299,-0.987405,0.975696,1.8239,51.68,-1.9276,-12.691,1
14.034399,-0.992263,0.998196,1.5420,47.94,-1.9994,8.078,1
14.053199,-0.876886,0.919603,1.1949,44.37,-1.8794,33.823,1
14.072099,-0.662268,0.761729,0.8934,43.53,-1.5632,41.070,1
14.090999,-0.369346,0.526985,0.5843,46.54,-1.0307,26.245,1
14.109799,-0.001345,0.151435,0.1845,51.35,-0.2792,-6.119,1
14.128499,0.395881,-0.250409,6.0646,54.87,0.4907,-29.379,1
14.147199,0.728005,-0.649872,5.6106,55.69,1.2554,-36.070,1
14.165899,0.940389,-0.914060,5.1634,53.52,1.7588,-23.801,1
14.184700,0.999495,-0.999414,4.7754,49.48,1.9933,0.841,1
14.203299,0.891587,-0.930154,4.3644,44.61,1.8794,32.164,1
14.221899,0.613967,-0.724930,3.9801,43.78,1.4472,39.929,1
14.240499,0.219467,-0.394160,3.5772,48.53,0.7595,14.366,1
14.259099,-0.216810,0.047469,3.1278,53.70,-0.1041,-21.443,1
14.277899,-0.560923,0.445990,2.7142,55.64,-0.8628,-34.980,1
14.296799,-0.808160,0.748977,2.3296,55.32,-1.4503,-34.184,1
14.315799,-0.950598,0.926984,1.9884,52.96,-1.8170,-22.154,1
14.334799,-0.999983,0.997934,1.6650,49.86,-1.9795,-1.528,1
14.353799,-0.951423,0.972506,1.3648,46.11,-1.9715,19.956,1
14.372799,-0.809761,0.871023,1.0846,43.66,-1.7579,38.948,1
14.391699,-0.563177,0.685509,0.7832,44.13,-1.3633,38.042,1
14.410499,-0.219482,0.394176,0.4356,48.11,-0.7595,14.368,1
14.429199,0.155064,0.019835,0.0198,53.10,0.0395,-17.506,1
14.447899,0.560910,-0.445974,5.8559,55.64,0.8628,-34.980,1
14.466599,0.843566,-0.792901,5.4020,54.86,1.5382,-32.592,1
14.485300,0.987397,-0.975685,4.9656,51.68,1.9275,-12.695,1
14.504099,0.976191,-0.989096,4.5940,46.82,1.9882,15.293,1
14.522599,0.771373,-0.842914,4.1716,43.47,1.7291,40.492,1
14.541199,0.427030,-0.575636,3.7837,45.48,1.1317,30.330,1
14.559799,0.001388,-0.183517,3.3584,50.97,0.3417,-3.634,1
14.578499,-0.395842,0.250360,2.9231,54.87,-0.4906,-29.377,1
14.597399,-0.683486,0.595151,2.5391,55.74,-1.1492,-36.345,1
14.616399,-0.875568,0.832815,2.1916,54.48,-1.6191,-29.423,1
14.635399,-0.981967,0.968043,1.8565,51.68,-1.9095,-12.695,1
14.654399,-0.992271,0.998199,1.5421,48.32,-1.9994,8.073,1
14.673299,-0.891607,0.930170,1.2229,44.61,-1.8795,32.162,1
14.692199,-0.685532,0.779229,0.9208,43.46,-1.5632,41.342,1
14.710999,-0.369401,0.527031,0.5843,46.17,-1.0308,26.249,1
14.729799,-0.001404,0.183537,0.2168,50.97,-0.3418,-3.633,1
14.748499,0.395827,-0.250345,6.0647,54.87,0.4905,-29.377,1
14.767199,0.727965,-0.649819,5.6457,55.69,1.2029,-36.071,1
14.785999,0.929188,-0.899893,5.1971,53.78,1.7588,-25.354,1
14.804800,0.999982,-0.997931,4.8066,49.48,1.9874,-1.533,1
14.823399,0.905395,-0.940063,4.3925,44.88,1.8990,30.381,1
14.841899,0.614014,-0.724965,3.9802,43.78,1.4473,39.931,1
14.860499,0.219524,-0.394215,3.5773,48.52,0.7596,14.371,1
14.879099,-0.216752,0.047401,3.1279,53.70,-0.1040,-21.438,1
14.897899,-0.560874,0.445933,2.7143,55.64,-0.8627,-34.979,1
14.916799,-0.808125,0.748934,2.3297,55.32,-1.4502,-34.185,1
14.935799,-0.950580,0.926960,1.9884,53.25,-1.8170,-22.158,1
14.954799,-0.999982,0.997930,1.6650,49.86,-1.9874,-1.533,1
14.973799,-0.951441,0.972519,1.3648,46.11,-1.9715,22.202,1
14.992799,-0.809796,0.871047,1.0847,43.66,-1.7580,38.947,1
15.011699,-0.563226,0.685548,0.7832,44.13,-1.3634,38.045,1
15.030499,-0.219540,0.394232,0.4357,48.11,-0.7596,14.373,1
15.049299,0.155005,0.019896,0.0532,52.78,-0.0249,-15.387,1
15.067999,0.534610,-0.414306,5.8909,55.56,0.8024,-34.343,1
15.086799,0.808116,-0.748923,5.4713,55.18,1.4502,-34.186,1
15.105499,0.975596,-0.959382,5.0308,52.34,1.8894,-16.720,1
15.124199,0.987846,-0.996002,4.6237,47.56,1.9975,12.901,1
15.142799,0.827843,-0.884144,4.2537,43.66,1.7853,37.904,1
15.161399,0.482984,-0.621580,3.8407,45.17,1.2281,33.893,1
15.179899,0.032855,-0.215202,3.3905,50.57,0.4037,-1.101,1
15.198499,-0.395788,0.250300,2.9231,54.87,-0.4905,-29.375,1
15.217399,-0.683442,0.595095,2.5392,55.74,-1.1490,-36.345,1
15.236299,-0.890294,0.851125,2.1574,54.48,-1.6190,-29.425,1
15.255399,-0.981956,0.968027,1.8565,51.68,-1.9095,-12.699,1
15.274399,-0.992279,0.998202,1.5421,48.33,-1.9994,8.068,1
15.293299,-0.891635,0.930191,1.2229,44.61,-1.8991,32.160,1
15.312199,-0.685575,0.779262,0.9209,43.46,-1.5633,41.344,1
15.330999,-0.369456,0.527076,0.5844,46.17,-1.0309,26.254,1
15.349799,-0.001463,0.183596,0.2169,50.97,-0.3419,-3.628,1
15.368599,0.366737,-0.216660,6.0992,54.87,0.4265,-28.018,1
15.387299,0.706056,-0.622795,5.6458,55.74,1.2028,-36.259,1
15.405999,0.929166,-0.899867,5.1972,53.78,1.7266,-26.807,1
15.424799,0.999981,-0.997928,4.8067,49.86,1.9874,-1.536,1
15.443499,0.918271,-0.949298,4.4208,45.16,1.9169,28.480,1
15.462100,0.662367,-0.761805,4.0351,43.64,1.5260,41.072,1
15.480599,0.250103,-0.422107,3.6076,48.11,0.8160,14.375,1
15.499199,-0.185916,0.013615,3.1615,53.41,-0.0393,-19.519,1
15.517999,-0.534573,0.414263,2.7493,55.64,-0.8023,-34.978,1
15.536899,-0.789232,0.725509,2.3645,55.44,-1.4037,-34.822,1
15.555899,-0.940343,0.914001,2.0219,53.25,-1.7888,-23.808,1
15.574899,-0.999391,0.995514,1.6964,50.24,-1.9794,-3.872,1
15.593899,-0.960635,0.978817,1.3939,46.46,-1.9808,19.947,1
15.612799,-0.827869,0.884163,1.1122,43.66,-1.7854,37.902,1
15.631699,-0.563275,0.685587,0.7833,44.13,-1.3635,38.046,1
15.650499,-0.219598,0.394281,0.4358,48.11,-0.8160,14.377,1
15.669300,0.154947,0.019959,0.0533,52.78,-0.0250,-15.383,1
15.687999,0.534560,-0.414245,5.8910,55.56,0.7412,-34.343,1
15.706799,0.808081,-0.748881,5.4714,55.18,1.4501,-34.187,1
15.725499,0.975582,-0.959365,5.0308,52.34,1.8893,-16.723,1
15.744299,0.987855,-0.996007,4.6536,47.56,1.9975,10.488,1
15.762799,0.827877,-0.884168,4.2538,43.66,1.7854,37.902,1
15.781399,0.483035,-0.621625,3.8408,44.87,1.2282,33.896,1
15.799999,0.064290,-0.246423,3.4223,50.57,0.4651,-1.097,1
15.818599,-0.366698,0.216614,2.9577,54.67,-0.4264,-28.018,1
15.837499,-0.660131,0.566498,2.5743,55.77,-1.0939,-36.303,1
15.856399,-0.875511,0.832744,2.1917,54.68,-1.6189,-30.588,1
15.875399,-0.981945,0.968013,1.8566,52.02,-1.9094,-14.752,1
15.894399,-0.995651,0.999551,1.5726,48.33,-1.9993,5.639,1
15.913299,-0.891662,0.930209,1.2230,44.61,-1.8795,32.155,1
15.932199,-0.685619,0.779293,0.9209,43.46,-1.5994,41.344,1
15.950999,-0.369511,0.527123,0.6135,46.17,-1.0820,26.257,1
15.969799,-0.001522,0.183654,0.2169,50.97,-0.3420,-3.624,1
15.988599,0.366682,-0.216599,6.0993,54.87,0.4264,-28.017,1
16.007299,0.706014,-0.622745,5.6458,55.69,1.2027,-36.260,1
16.025999,0.929144,-0.899838,5.1972,53.78,1.7587,-25.359,1
16.044698,0.999502,-0.999408,4.7756,49.48,1.9874,0.828,1
16.063299,0.891668,-0.930214,4.3646,44.61,1.8795,32.155,1
16.081899,0.614108,-0.725036,3.9803,43.77,1.4474,39.933,1
16.100500,0.188878,-0.365888,3.5469,48.52,0.7598,11.827,1
16.119098,-0.216636,0.047275,3.0942,53.70,-0.1038,-21.432,1
16.137899,-0.560777,0.445813,2.7144,55.71,-0.8625,-34.977,1
16.156799,-0.808056,0.748849,2.3298,55.32,-1.4501,-34.188,1
16.175800,-0.950544,0.926914,1.9886,52.96,-1.8169,-22.163,1
16.194799,-0.999981,0.997923,1.6651,49.86,-1.9874,-1.541,1
16.213800,-0.951477,0.972543,1.3650,46.12,-1.9605,22.194,1
16.232700,-0.791066,0.857373,1.0574,43.55,-1.7581,39.808,1
16.251600,-0.537119,0.664945,0.7555,44.35,-1.3197,36.834,1
16.270399,-0.188894,0.365901,0.4053,48.52,-0.7026,11.830,1
16.289098,0.216620,-0.047253,6.2696,53.41,0.1037,-19.514,1
16.307800,0.586482,-0.476862,5.8211,55.71,0.8624,-35.486,1
16.326599,0.843469,-0.792785,5.4022,54.86,1.5380,-32.597,1
16.345298,0.987369,-0.975642,4.9657,51.68,1.9274,-12.706,1
16.364099,0.976228,-0.989122,4.5942,47.19,1.9883,15.279,1
16.382699,0.791075,-0.857380,4.1990,43.55,1.7581,39.807,1
16.401300,0.455356,-0.599045,3.8125,45.17,1.1807,32.195,1
16.419898,0.032973,-0.215321,3.3906,50.57,0.4040,-1.092,1
16.438499,-0.395679,0.250172,2.9233,54.87,-0.4902,-29.371,1
16.457399,-0.683356,0.594990,2.5393,55.77,-1.1488,-36.345,1
16.476400,-0.875483,0.832709,2.1918,54.48,-1.6189,-29.430,1
16.495399,-0.981934,0.967997,1.8566,51.68,-1.9094,-14.756,1
16.514400,-0.992295,0.998209,1.5422,48.33,-1.9994,8.058,1
16.533300,-0.891689,0.930227,1.2230,44.61,-1.8796,32.152,1
16.552200,-0.685662,0.779324,0.9210,43.46,-1.5634,41.344,1
16.570999,-0.369566,0.527171,0.5845,46.17,-1.0821,26.262,1
16.589799,-0.001582,0.183715,0.2170,51.35,-0.3421,-3.618,1
16.608499,0.395664,-0.250159,6.0649,54.87,0.4902,-29.369,1
16.627199,0.727844,-0.649667,5.6109,55.69,1.2026,-36.072,1
16.645999,0.929122,-0.899809,5.1973,53.79,1.7586,-25.361,1
16.664798,0.999980,-0.997920,4.8068,49.48,1.9874,-1.545,1
16.683399,0.905469,-0.940118,4.3927,44.88,1.8992,30.370,1
16.701999,0.638616,-0.743784,4.0078,43.64,1.4875,40.603,1
16.720600,0.250217,-0.422210,3.6077,48.11,0.8162,16.897,1
16.739198,-0.185799,0.013483,3.1616,53.41,-0.0391,-19.511,1
16.757999,-0.534473,0.414140,2.7495,55.56,-0.8021,-34.340,1
16.776899,-0.789160,0.725419,2.3646,55.44,-1.4036,-34.826,1
16.795900,-0.940301,0.913948,2.0221,53.25,-1.7887,-23.815,1
