time,input,pll_output,phase_error,frequency,theta,loop_filter,lock_state
0,0.00628314396555895,0.00624441850260586,3.87254629530941e-05,49.6918265117096,0.00624445908450581,1.93631113368842,0
2e-05,0.0125660398833526,0.0124498323785129,0.000116207504839707,49.3833512004451,0.0124501540181443,3.87451867705309,0
4e-05,0.0188484397154082,0.0186160937244161,0.000232345990992026,49.0755471532114,0.0186171691544415,5.80850854412227,0
6e-05,0.0251300954433375,0.0247430304427947,0.000387065000542829,48.7681515888023,0.0247455558248629,7.73993183790964,0
8e-05,0.0314107590781283,0.0308304847575348,0.000580274320593446,48.4612094377846,0.0308353710070157,9.66850625133809,0
0.0001,0.0376901826699345,0.0368783129261963,0.000811869743738244,48.1547645726236,0.0368866771916837,11.5939561255787,0
0.00012,0.0439681183178649,0.0428863849509282,0.00108173336693671,47.8488598122442,0.0428995422504354,13.5160124213905,0
0.00014,0.0502443181797695,0.048854584288372,0.0013897338913976,47.5435369271958,0.0488740393038816,15.4344126866726,0
0.00016,0.0565185344820245,0.0547828075588729,0.00173572692315159,47.2388366453928,0.0548102465906534,17.3489010203906,0
0.00018,0.0627905195293134,0.0606709642553122,0.00211955527400114,46.9347986584076,0.0607082473371721,19.2592280330402,0
0.0002,0.0690600257144058,0.0665189764518571,0.00254104926254868,46.6314616282889,0.0665681296282756,21.165150803806,0
0.00022,0.0753268055279327,0.0723267785129169,0.00300002701501581,46.3288631948804,0.0723899862787637,23.0664328345737,0
0.00024,0.0815906115681575,0.0780943168025786,0.00349629476557896,46.027039983617,0.0781739147059243,24.9628440009499,0
0.00026,0.0878511965507432,0.083821549394785,0.00402964715595815,45.7260276137715,0.083920016803095,26.8541605004423,0
0.00028,0.0941083133185143,0.0895084457845064,0.00459986753400786,45.4258607071307,0.0896283988143156,28.7401647979492,0
0.0003,0.100361714851215,0.0951549866001446,0.0052067282510703,45.1265728970756,0.0952991712101211,30.6206455687051,0
0.00032,0.10661115427526,0.100761163317397,0.00584999095786318,44.8281968380439,0.100932448564524,32.4953976388275,0
0.00034,0.112856384873482,0.106326977974796,0.00652940689868525,44.5307642153515,0.106528349433232,34.3642219236041,0
0.00036,0.11909716009487,0.111852442891136,0.00724471720373396,44.2343057553524,0.112086996233138,36.2269253636598,0
0.00038,0.125333233564304,0.117337580384963,0.0079956531793408,43.9388512359137,0.117608515123135,38.0833208591369,0
0.0004,0.131564359092282,0.122782422496342,0.00878193659594027,43.6444294971866,0.123093035886274,39.933227202021,0
0.00042,0.137790290684638,0.128187010711038,0.00960327997359967,43.3510684526519,0.128540691813319,41.7764690067402,0
0.00044,0.144010782552252,0.133551395687306,0.0104593868649459,43.0587951004202,0.133951619587715,43.6128766391626,0
0.00046,0.150225589120757,0.13887563698542,0.0113499521353369,42.767635534768,0.139325959172012,45.4422861441132,0
0.00048,0.156434465040231,0.144159802800096,0.0122746622401348,42.4776149578905,0.144663853695761,47.2645391715301,0
0.0005,0.162637165194884,0.149403969695937,0.0132331954989465,42.1887576918526,0.149965449344914,49.0794829013715,0
