time,input,pll_output,phase_error,frequency,theta,loop_filter,lock_state
0,0.00628314396555895,0.00626219503383864,2.09489317203118e-05,49.8332904184661,0.00626223596331439,1.04746719325966,0
2e-05,0.0125660398833526,0.0125031394622307,6.29004211218764e-05,49.6661246077623,0.0125034652513152,2.09780095893679,0
4e-05,0.0188484397154082,0.0187226027351623,0.000125836980245889,49.4990293636337,0.0187236967316599,3.14769134174528,0
6e-05,0.0251300954433375,0.0249203415278884,0.000209753915449116,49.3318640695425,0.0249229216016105,4.19802186144921,0
8e-05,0.0314107590781283,0.0310961206234063,0.000314638454721981,49.1646545316395,0.0311011343013256,5.24863037322193,0
0.0001,0.0376901826699345,0.0372497128391509,0.000440469830783663,48.9974262354973,0.0372583324735755,6.29935674648715,0
0.00012,0.0439681183178649,0.0433808989512314,0.000587219366633474,48.8302043433713,0.0433945169231124,7.35004288213192,0
0.00014,0.0502443181797696,0.0494894676163257,0.000754850563443904,48.6630136916772,0.0495096915757249,8.40053272835379,0
0.00016,0.0565185344820245,0.0555752152913429,0.000943319190681642,48.4958787886827,0.0556038634370012,9.45067229516603,0
0.00018,0.0627905195293134,0.061637946150969,0.00115257337834437,48.3288238124082,0.0616770425508291,10.5003096675849,0
0.0002,0.0690600257144058,0.0676774720032032,0.00138255371120261,48.1618726087345,0.0677292419576582,11.5492950175236,0
0.00022,0.0753268055279327,0.0736936122029956,0.00163319332493711,47.9950486897109,0.0737604776525494,12.5974806144186,0
0.00024,0.0815906115681575,0.0796861935640935,0.00190441800406406,47.8283752320625,0.0797707685430367,13.6447208346123,0
0.00026,0.0878511965507432,0.0856550502692012,0.00219614628154199,47.6618750758898,0.0857601364068259,14.6908721695198,0
0.00028,0.0941083133185143,0.0916000237785586,0.0025082895399557,47.495570723559,0.0917286058493534,15.7357932326042,0
0.0003,0.100361714851215,0.0975209627370402,0.00284075211417467,47.3294843387773,0.0976762042612292,16.7793447651874,0
0.00032,0.10661115427526,0.103417722879875,0.00319343139538511,47.1636377458485,0.103602961775586,17.8213896411233,0
0.00034,0.112856384873482,0.109290166937085,0.00356621793639626,46.9980524291068,0.109508911225359,18.8617928703598,0
0.00036,0.11909716009487,0.115138164536746,0.00395899555812411,46.8327495325219,0.11539408810051,19.9004216014158,0
0.00038,0.125333233564304,0.120961592107147,0.00437164145715729,46.6677498594737,0.121258530505234,20.9371451228021,0
0.0004,0.131564359092283,0.126760332777971,0.00480402631431193,46.5030738726893,0.127102279115145,21.9718348634107,0
0.00042,0.137790290684638,0.132534276280554,0.00525601440408419,46.3387416943415,0.132925377134486,23.0043643919025,0
0.00044,0.144010782552252,0.138283318847341,0.00572746370491165,46.1747731063011,0.138727870253364,24.0346094151174,0
0.00046,0.150225589120757,0.144007363110601,0.0062182260101564,46.0111875505408,0.144509806605033,25.0624477755372,0
0.00048,0.156434465040231,0.149706318000506,0.00672814703972469,45.8480041296862,0.150271236723256,26.0877594478257,0
0.0005,0.162637165194884,0.155380098642643,0.00725706655224082,45.6852416077087,0.156012213499746,27.1104265344745,0
0.00052,0.168833444712734,0.16102862625504,0.00780481845769435,45.5229184107562,0.161732792141714,28.1303332605808,0
0.00054,0.175023058975276,0.166651828044794,0.00837123093048198,45.3610526281186,0.167433030129538,29.1473659677846,0
0.00056,0.181205763627137,0.172249637104369,0.00895612652276828,45.199662013322,0.173112987174569,30.1614131073912,0
0.00058,0.187381314585725,0.177821992307634,0.00955932227809073,45.0387639853489,0.178772725177095,31.1723652327058,0
0.0006,0.19354946805086,0.183368838205723,0.010180629845137,44.8783756299793,0.184412308184462,32.1801149906069,0
0.00062,0.199709980514407,0.188890124922782,0.010819855591625,44.7185137012487,0.190031802349394,33.1845571123842,0
0.00064,0.205862608769881,0.194385808051664,0.0114768007182175,44.5591946230197,0.195631275888496,34.185588403866,0
0.00066,0.212007109922055,0.199855848549648,0.0121512613724069,44.4004344906617,0.201210799040979,35.183107734864,0
0.00068,0.218143241396543,0.205300212634238,0.0128430287623049,44.2422490728357,0.206770444027599,36.1770160279583,0
0.0007,0.224270760949381,0.210718871679103,0.0135518892702784,44.0846538133804,0.212310285009846,37.1672162466491,0
0.00072,0.230389426676591,0.216111802110221,0.0142776245663693,43.9276638332944,0.217830398049367,38.1536133828995,0
0.00074,0.236498997023725,0.22147898530228,0.0150200117214449,43.7712939328123,0.223330861067665,39.1361144440939,0
0.00076,0.242599230795407,0.226820407475387,0.0157788233200205,43.615558593569,0.228811753806056,40.1146284394361,0
0.00078,0.248689887164855,0.232136059592151,0.016553827572704,43.4604719808503,0.234273157785919,41.0890663658106,0
0.0008,0.254770725683382,0.237425937255172,0.0173447884282098,43.3060479459246,0.239715156269236,42.0593411931308,0
0.00082,0.260841506289897,0.242690040605002,0.0181514656848945,43.1523000284531,0.245137834219432,43.0253678491977,0
0.00084,0.266901989320376,0.247928374218609,0.0189736151017669,42.9992414589734,0.25054127826253,43.98706320409,0
0.00086,0.272951935517325,0.253140947008398,0.0198109885089274,42.8468851614555,0.255925576648627,44.9443460541108,0
0.00088,0.278991106039229,0.258327772121834,0.0206633339173951,42.6952437559235,0.2612908192137,45.8971371053096,0
0.0009,0.285019262469976,0.263488866841697,0.0215303956282787,42.5443295611423,0.266637097341748,46.8453589566037,0
0.00092,0.291036166828272,0.268624252487015,0.0224119143412571,42.3941545973645,0.271964503927277,47.7889360825188,0
0.00094,0.297041581577035,0.273733954314709,0.0233076272623258,42.2447305891344,0.277273133338145,48.72779481557,0
0.00096,0.303035269632774,0.278818001421994,0.0242172682107802,42.0960689681464,0.282563081378759,49.6618633283035,0
0.00098,0.309016994374947,0.28387642664955,0.0251405677253976,41.9481808761537,0.287834445253638,50.5910716150188,0
0.001,0.314986519655305,0.288909266485517,0.0260772531697877,41.8010771679253,0.293087323531354,51.5153514731906,0
0.00102,0.320943609807209,0.293916560970328,0.0270270488368816,41.6547684142476,0.298321816108841,52.4346364846106,0
0.00104,0.326888029654942,0.298898353602412,0.0279896760525303,41.5092649049669,0.303538024176095,53.3488619962662,0
0.00106,0.332819544522987,0.303854691244802,0.0289648532781852,41.3645766520721,0.308736050181255,54.2579651009761,0
