time,input,pll_output,phase_error,frequency,theta,loop_filter,lock_state
0,-0.0380595907188218,0.00641004021355564,-0.0444696309323774,51.0098285948666,0.0064100841109803,-6.34494019003575,0
2e-05,0.0676057179178502,0.0124674167343076,0.0551383011835425,48.2052918357695,0.0124677397387965,11.2764839681683,0
4e-05,0.0815787045501235,0.0184775409432772,0.0631011636068464,47.8328467519256,0.0184785925370419,13.6166254467079,0
6e-05,0.0427055332517663,0.0246164816715319,0.0180890515802344,48.8635593161978,0.0246189684960826,7.14046740694682,0
8e-05,-0.0453043935982947,0.0310479063929359,-0.0763522999912306,51.1995744885337,0.0310528967792866,-7.53714880122217,0
0.0001,-0.00558605990361526,0.0373457373012314,-0.0429317972048466,50.1459586888308,0.0373544237962485,-0.91708548911693,0
0.00012,-0.0540532082639095,0.043803590925676,-0.0978567991895855,51.4324103075138,0.0438176110913886,-9.0000993980234,0
0.00014,0.10883728755469,0.0497172596820552,0.0591200278726348,47.111083151398,0.0497377644006322,18.1515998967993,0
0.00016,0.0627319390961752,0.0557824413287064,0.00694949776746879,48.3325474260981,0.0558114114375566,10.4769135127593,0
0.00018,0.109917819835382,0.0616885229316938,0.048229296903688,47.080453904103,0.0617277157620687,18.3440491333734,0
0.0002,0.0209651562666825,0.0678879137866695,-0.046922757519987,49.4371308873857,0.0679401688504834,3.53661093824323,0
0.00022,0.199478067661731,0.0734918560350532,0.125986211626678,44.7066558217267,0.0735581729103275,33.2590623667712,0
0.00024,0.203802609856319,0.0790788551868502,0.124723754669469,44.5899196258363,0.079161507467155,33.9925375176061,0
0.00026,0.0728342713962071,0.0850972851155531,-0.012263013719346,48.0554010603756,0.0852003272646185,12.218275485805,0
0.00028,0.00931982161490832,0.0913228710079148,-0.0820030493930065,49.7355956019864,0.091450286535223,1.66130182875301,0
0.0003,0.0459609967898378,0.0974236826744674,-0.0514626858846296,48.7664450654217,0.0975784587575917,7.7506542405415,0
0.00032,0.101363637529276,0.103337758508634,-0.00197412097935787,47.301707753517,0.10352256666082,16.9538701975788,0
0.00034,0.10240029022732,0.109244690786008,-0.00684440055868826,47.2737488177122,0.109463161140555,17.1295413722318,0
0.00036,0.0661158477970912,0.115267281772675,-0.0491514339755835,48.2311862851595,0.11552407076085,11.1137843442236,0
0.00038,0.140731156770421,0.121040059268521,0.0196910975018999,46.2624245023642,0.121337578479005,23.4838794512196,0
0.0004,0.0964084758987009,0.126954342259374,-0.0305458663606733,47.4304831121509,0.127297868771059,16.1447507562833,0
0.00042,0.0409235353164284,0.133046145407925,-0.092122610091497,48.8920088010213,0.1334418197978,6.96171402190712,0
0.00044,0.11764461841538,0.138881601315485,-0.0212369829001056,46.8724204345482,0.139331981865526,19.6511619726817,0
0.00046,0.139429660039008,0.14464098506022,-0.0052113250212116,46.2993715217876,0.145150132483073,23.2517344816342,0
0.00048,0.220963362782063,0.15012927099955,0.0708340917825128,44.1566787270957,0.150699024382912,36.7146703670423,0
0.0005,0.0997719269602991,0.156007950903105,-0.0562360239428056,47.3389854779715,0.156647816743151,16.719647347001,0
0.00052,0.16912840652464,0.161655501953219,0.00747290457142122,45.5196913889496,0.162367989865599,28.150609236582,0
0.00054,0.188194367222786,0.167235900266527,0.0209584669562592,45.0203640244691,0.168025415660848,31.2879755965584,0
0.00056,0.0241641211046806,0.173342617311825,-0.149178496207145,49.3161000476333,0.174222659565382,4.297070132291,0
0.00058,0.209771271079317,0.178842458250836,0.0309288128284812,44.461173290123,0.179809815380511,34.8014746025129,0
0.0006,0.119605171374351,0.184627826712559,-0.065022655338208,46.8182121271969,0.185693165431431,19.9917628129584,0
0.00062,0.170475382173844,0.190243079547645,-0.0197676973738007,45.4910715849705,0.191409742083242,28.3304327684379,0
0.00064,0.374980229333464,0.195195100575707,0.179785128757757,40.1598150271217,0.196456373277591,61.8277056415181,0
0.00066,0.314691720088111,0.200335690222732,0.114356029865379,41.7317940118428,0.201700545177141,51.9506703815238,0
0.00068,0.27048561118302,0.205612455893834,0.0648731552891861,42.8838906189953,0.20708949380618,44.7118339070112,0
0.0007,0.206858720434952,0.211086629609186,-0.0042279091742346,44.5396018590109,0.212686505245943,34.3086933708131,0
0.00072,0.163620674434609,0.216692120358843,-0.0530714459242337,45.6639072782668,0.218424801071528,27.2444740797621,0
0.00074,0.258557305772877,0.221989075874009,0.0365682298988679,43.2039805288416,0.223853973384937,42.7006496884887,0
0.00076,0.220602611320393,0.227400066997712,-0.00679745567731965,44.1893176721063,0.229406966815571,36.5095938273094,0
